id,level,lot_min,lot_max,letter
aql_letter_1_2,1,2,8,A
aql_letter_1_9,1,9,15,A
aql_letter_1_16,1,16,25,B
aql_letter_1_26,1,26,50,C
aql_letter_1_51,1,51,90,C
aql_letter_1_91,1,91,150,D
aql_letter_1_151,1,151,280,E
aql_letter_1_281,1,281,500,F
aql_letter_1_501,1,501,1200,G
aql_letter_1_1201,1,1201,3200,H
aql_letter_1_3201,1,3201,10000,J
aql_letter_1_10001,1,10001,35000,K
aql_letter_1_35001,1,35001,150000,L
aql_letter_1_150001,1,150001,500000,M
aql_letter_1_500001,1,500001,0,N
aql_letter_2_2,2,2,8,A
aql_letter_2_9,2,9,15,B
aql_letter_2_16,2,16,25,C
aql_letter_2_26,2,26,50,D
aql_letter_2_51,2,51,90,E
aql_letter_2_91,2,91,150,F
aql_letter_2_151,2,151,280,G
aql_letter_2_281,2,281,500,H
aql_letter_2_501,2,501,1200,J
aql_letter_2_1201,2,1201,3200,K
aql_letter_2_3201,2,3201,10000,L
aql_letter_2_10001,2,10001,35000,M
aql_letter_2_35001,2,35001,150000,N
aql_letter_2_150001,2,150001,500000,P
aql_letter_2_500001,2,500001,0,Q
aql_letter_3_2,3,2,8,B
aql_letter_3_9,3,9,15,C
aql_letter_3_16,3,16,25,D
aql_letter_3_26,3,26,50,E
aql_letter_3_51,3,51,90,F
aql_letter_3_91,3,91,150,G
aql_letter_3_151,3,151,280,H
aql_letter_3_281,3,281,500,J
aql_letter_3_501,3,501,1200,K
aql_letter_3_1201,3,1201,3200,L
aql_letter_3_3201,3,3201,10000,M
aql_letter_3_10001,3,10001,35000,N
aql_letter_3_35001,3,35001,150000,P
aql_letter_3_150001,3,150001,500000,Q
aql_letter_3_500001,3,500001,0,R
