id,letter,sample_size,aql,severity,ac,re
aql_plan_A_6_5,A,2,6.5,normal,0,1
aql_plan_B_4_0,B,3,4.0,normal,0,1
aql_plan_C_2_5,C,5,2.5,normal,0,1
aql_plan_D_1_5,D,8,1.5,normal,0,1
aql_plan_D_6_5,D,8,6.5,normal,1,2
aql_plan_E_1_0,E,13,1.0,normal,0,1
aql_plan_E_4_0,E,13,4.0,normal,1,2
aql_plan_E_6_5,E,13,6.5,normal,2,3
aql_plan_F_0_65,F,20,0.65,normal,0,1
aql_plan_F_2_5,F,20,2.5,normal,1,2
aql_plan_F_4_0,F,20,4.0,normal,2,3
aql_plan_F_6_5,F,20,6.5,normal,3,4
aql_plan_G_0_4,G,32,0.4,normal,0,1
aql_plan_G_1_5,G,32,1.5,normal,1,2
aql_plan_G_2_5,G,32,2.5,normal,2,3
aql_plan_G_4_0,G,32,4.0,normal,3,4
aql_plan_G_6_5,G,32,6.5,normal,5,6
aql_plan_H_0_25,H,50,0.25,normal,0,1
aql_plan_H_1_0,H,50,1.0,normal,1,2
aql_plan_H_1_5,H,50,1.5,normal,2,3
aql_plan_H_2_5,H,50,2.5,normal,3,4
aql_plan_H_4_0,H,50,4.0,normal,5,6
aql_plan_H_6_5,H,50,6.5,normal,7,8
aql_plan_J_0_15,J,80,0.15,normal,0,1
aql_plan_J_0_65,J,80,0.65,normal,1,2
aql_plan_J_1_0,J,80,1.0,normal,2,3
aql_plan_J_1_5,J,80,1.5,normal,3,4
aql_plan_J_2_5,J,80,2.5,normal,5,6
aql_plan_J_4_0,J,80,4.0,normal,7,8
aql_plan_J_6_5,J,80,6.5,normal,10,11
aql_plan_K_0_1,K,125,0.1,normal,0,1
aql_plan_K_0_4,K,125,0.4,normal,1,2
aql_plan_K_0_65,K,125,0.65,normal,2,3
aql_plan_K_1_0,K,125,1.0,normal,3,4
aql_plan_K_1_5,K,125,1.5,normal,5,6
aql_plan_K_2_5,K,125,2.5,normal,7,8
aql_plan_K_4_0,K,125,4.0,normal,10,11
aql_plan_K_6_5,K,125,6.5,normal,14,15
aql_plan_L_0_065,L,200,0.065,normal,0,1
aql_plan_L_0_25,L,200,0.25,normal,1,2
aql_plan_L_0_4,L,200,0.4,normal,2,3
aql_plan_L_0_65,L,200,0.65,normal,3,4
aql_plan_L_1_0,L,200,1.0,normal,5,6
aql_plan_L_1_5,L,200,1.5,normal,7,8
aql_plan_L_2_5,L,200,2.5,normal,10,11
aql_plan_L_4_0,L,200,4.0,normal,14,15
aql_plan_L_6_5,L,200,6.5,normal,21,22
aql_plan_M_0_15,M,315,0.15,normal,1,2
aql_plan_M_0_25,M,315,0.25,normal,2,3
aql_plan_M_0_4,M,315,0.4,normal,3,4
aql_plan_M_0_65,M,315,0.65,normal,5,6
aql_plan_M_1_0,M,315,1.0,normal,7,8
aql_plan_M_1_5,M,315,1.5,normal,10,11
aql_plan_M_2_5,M,315,2.5,normal,14,15
aql_plan_M_4_0,M,315,4.0,normal,21,22
aql_plan_N_0_1,N,500,0.1,normal,1,2
aql_plan_N_0_15,N,500,0.15,normal,2,3
aql_plan_N_0_25,N,500,0.25,normal,3,4
aql_plan_N_0_4,N,500,0.4,normal,5,6
aql_plan_N_0_65,N,500,0.65,normal,7,8
aql_plan_N_1_0,N,500,1.0,normal,10,11
aql_plan_N_1_5,N,500,1.5,normal,14,15
aql_plan_N_2_5,N,500,2.5,normal,21,22
aql_plan_P_0_065,P,800,0.065,normal,1,2
aql_plan_P_0_1,P,800,0.1,normal,2,3
aql_plan_P_0_15,P,800,0.15,normal,3,4
aql_plan_P_0_25,P,800,0.25,normal,5,6
aql_plan_P_0_4,P,800,0.4,normal,7,8
aql_plan_P_0_65,P,800,0.65,normal,10,11
aql_plan_P_1_0,P,800,1.0,normal,14,15
aql_plan_P_1_5,P,800,1.5,normal,21,22
aql_plan_Q_0_065,Q,1250,0.065,normal,2,3
aql_plan_Q_0_1,Q,1250,0.1,normal,3,4
aql_plan_Q_0_15,Q,1250,0.15,normal,5,6
aql_plan_Q_0_25,Q,1250,0.25,normal,7,8
aql_plan_Q_0_4,Q,1250,0.4,normal,10,11
aql_plan_Q_0_65,Q,1250,0.65,normal,14,15
aql_plan_Q_1_0,Q,1250,1.0,normal,21,22
aql_plan_R_0_065,R,2000,0.065,normal,3,4
aql_plan_R_0_1,R,2000,0.1,normal,5,6
aql_plan_R_0_15,R,2000,0.15,normal,7,8
aql_plan_R_0_25,R,2000,0.25,normal,10,11
aql_plan_R_0_4,R,2000,0.4,normal,14,15
aql_plan_R_0_65,R,2000,0.65,normal,21,22
